2021-03-15T16:12:51,419 [main] INFO  (StepDefinitions_Functional_Test.java:42) - Getting authentication token set
2021-03-15T16:12:51,420 [main] INFO  (StepDefinitions_Functional_Test.java:43) - Access token and Refresh token::{access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJ2MmFQNDdIQXVTUi1qWmR5U3otNDVDV2RaOFhiWGFBMXNDbWhLbWtJLXRvIn0.eyJleHAiOjE2MTU4OTEzNzAsImlhdCI6MTYxNTgwNDk3MCwianRpIjoiNzc3ZTQ0NTUtYjNjNC00NGM4LWFhN2YtZWQwNzE2Y2UxOWEwIiwiaXNzIjoiaHR0cHM6Ly9zYW5kYm94Lm5lb25vbWljcy5pby9hdXRoL3JlYWxtcy9zYW5kYm94Iiwic3ViIjoiMjE4MDlmM2EtOWJhOS00MDMxLTllM2QtOTdiNTY3Nzc5OWY5IiwidHlwIjoiQmVhcmVyIiwiYXpwIjoiM2QzNWY2MDYtY2Q1Ny00NzRmLTg2NzYtYjc4ZGZiZWFjMzQ1Iiwic2Vzc2lvbl9zdGF0ZSI6Ijk2ZmQ1YTVlLTVlNjQtNGUzYi05MTBmLWFiYTAwMDA4OWJmZSIsImFjciI6IjEiLCJzY29wZSI6ImJhbnFicmlkZ2VfY2xpZW50Iiwib3JnYW5pemF0aW9uSWQiOiI0MjRhNTc5My01NDQ4LTQ0NjMtODI2YS05NzdhOTc2MTY4NDIiLCJjbGllbnRJZCI6IjNkMzVmNjA2LWNkNTctNDc0Zi04Njc2LWI3OGRmYmVhYzM0NSIsImNsaWVudEhvc3QiOiIxMDMuMjAwLjEwNi4xMzkiLCJja2lkIjoiYmY2NGIzNTktOWFhZC00MjcxLWJjNjItNTFjNDI2NGQyZmQ3IiwiY2xpZW50QWRkcmVzcyI6IjEwMy4yMDAuMTA2LjEzOSJ9.aJ9Diu_LZBCt_9pAiOBvFrLF_-NHqhc9__h28FTMv7tyrhp4hLEAh13Hsv-GHJL-VbUgvFf22i58U493L9f1KHI6fS6xCUQ9g4OC7qDJnqwTQ-Qcg-4pYTTtqHOdms4r1U5s-o8NlEvCBTGgS4I31rvR4BCkPBPmtQP9zf50DwJVBNO1cTcjPF6cLopqDJNVIeRRlKxaCztpBeD--HwEbwbliQjrZOlg-gS1J7LaEBBm57AMcfkEAXx61E1NAIFm70wTpx_NrZm3Y-MiF_cpdeU7c4dBuJ2dVxS-SbtUuNnZx7gNVhNthBCrH7f2Sf0APLF3vOSVWWcC1ofyFi1DYA, refresh_token=eyJhbGciOiJIUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICIwYTAzNjlhNy0yMTg3LTQ3OWYtOTU4NS02Y2QzYTczZDUxOWYifQ.eyJleHAiOjE2MTgzOTY5NzAsImlhdCI6MTYxNTgwNDk3MCwianRpIjoiOGIwYWJhYmMtOWNmZC00ZmZkLWFmNTAtM2FlZmE3ZWM4MGM0IiwiaXNzIjoiaHR0cHM6Ly9zYW5kYm94Lm5lb25vbWljcy5pby9hdXRoL3JlYWxtcy9zYW5kYm94IiwiYXVkIjoiaHR0cHM6Ly9zYW5kYm94Lm5lb25vbWljcy5pby9hdXRoL3JlYWxtcy9zYW5kYm94Iiwic3ViIjoiMjE4MDlmM2EtOWJhOS00MDMxLTllM2QtOTdiNTY3Nzc5OWY5IiwidHlwIjoiUmVmcmVzaCIsImF6cCI6IjNkMzVmNjA2LWNkNTctNDc0Zi04Njc2LWI3OGRmYmVhYzM0NSIsInNlc3Npb25fc3RhdGUiOiI5NmZkNWE1ZS01ZTY0LTRlM2ItOTEwZi1hYmEwMDAwODliZmUiLCJzY29wZSI6ImJhbnFicmlkZ2VfY2xpZW50In0.lYc7ggAiyuo7hIanZP_fxyEJ2VnLGFaR7UdooK6pcBs}
2021-03-15T16:12:51,728 [main] INFO  (StepDefinitions_Functional_Test.java:54) - Received Bank ID [anVzdG9iYW5rLnYxSlVTVE5PS0s=] for bank [Justo Bank] with devide ID [example_id_for_quickstart].
2021-03-15T16:12:51,729 [main] INFO  (StepDefinitions_Functional_Test.java:67) - Creating session ID for bank [Justo Bank] when Device ID [example_id_for_quickstart] with token [{}]
2021-03-15T16:12:52,036 [main] INFO  (StepDefinitions_Functional_Test.java:70) - Recieved session ID as [b8844f95-a70b-4259-a90a-c0f90ba4a0fc]
2021-03-15T16:12:52,037 [main] INFO  (StepDefinitions_Functional_Test.java:92) - Getting deatils for [Justo Bank] bank
2021-03-15T16:12:52,245 [main] INFO  (StepDefinitions_Functional_Test.java:95) - Got bank details to validate current session [{bankId=anVzdG9iYW5rLnYxSlVTVE5PS0s=, bankName=Justo Bank}]
2021-03-15T16:12:52,245 [main] INFO  (StepDefinitions_Functional_Test.java:112) - Getting [Justo Bank] bank details to seek consent, where user [Accept] consent provided Device ID [example_id_for_quickstart] and redirect URL []
2021-03-15T16:12:52,459 [main] INFO  (StepDefinitions_Functional_Test.java:115) - Received bank details for bank [Justo Bank] as [BankData [countryCode=NO, bankingGroupName=, personalIdentificationRequired=false, id=anVzdG9iYW5rLnYxSlVTVE5PS0s=, bankDisplayName=Justo Bank, supportedServices=[accounts, sepa-credit], bic=JUSTNOKK, bankOfficialName=, status=AVAILABLE]]
2021-03-15T16:12:52,460 [main] INFO  (StepDefinitions_Functional_Test.java:116) - Checking whether PSU ID is required for bank [Justo Bank]
2021-03-15T16:12:52,460 [main] INFO  (StepDefinitions_Functional_Test.java:125) - Handling bank consent
2021-03-15T16:12:57,208 [main] INFO  (StepDefinitions_Functional_Test.java:73) - Deleting session for bank [Justo Bank] when Device ID [example_id_for_quickstart] with token [{}]
2021-03-15T16:12:57,387 [main] INFO  (StepDefinitions_Functional_Test.java:76) - Deleted session ID as [b8844f95-a70b-4259-a90a-c0f90ba4a0fc]
