2021-03-19 00:08:27.634 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - ********************************************************************************************************
2021-03-19 00:08:27.636 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - --- Execution Started :::: Verity that Auth token API works for various combinations
2021-03-19 00:08:27.636 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - ********************************************************************************************************
2021-03-19 00:08:27.734 [main] INFO  stepDefinition.StepDefinitions_API_Test - Base URL [https://sandbox.neonomics.io]
2021-03-19 00:08:27.734 [main] INFO  stepDefinition.StepDefinitions_API_Test - Endpoint path [/auth/realms/sandbox/protocol/openid-connect/token]
2021-03-19 00:08:27.735 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting Header = [Content-Type] and Value = [application/x-www-form-urlencoded]
2021-03-19 00:08:27.736 [main] INFO  stepDefinition.StepDefinitions_API_Test - Added :: Header = [Content-Type] and Value = [application/x-www-form-urlencoded]
2021-03-19 00:08:27.737 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting request paramter as Key = [grant_type] and Value = [client_credentials]
2021-03-19 00:08:27.738 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting request paramter as Key = [client_id] and Value = [valid]
2021-03-19 00:08:27.739 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting request paramter as Key = [client_secret] and Value = [valid]
2021-03-19 00:08:27.788 [main] INFO  stepDefinition.StepDefinitions_API_Test - Making [POST] request
2021-03-19 00:08:28.721 [main] INFO  stepDefinition.StepDefinitions_API_Test - Validating response code as [200]
2021-03-19 00:08:28.751 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - ********************************************************************************************************
2021-03-19 00:08:28.752 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - --- Execution Started :::: Verity that Auth token API works for various combinations
2021-03-19 00:08:28.752 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - ********************************************************************************************************
2021-03-19 00:08:28.752 [main] INFO  stepDefinition.StepDefinitions_API_Test - Base URL [https://sandbox.neonomics.io]
2021-03-19 00:08:28.753 [main] INFO  stepDefinition.StepDefinitions_API_Test - Endpoint path [/auth/realms/sandbox/protocol/openid-connect/token]
2021-03-19 00:08:28.753 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting Header = [Content-Type] and Value = [application/json]
2021-03-19 00:08:28.753 [main] INFO  stepDefinition.StepDefinitions_API_Test - Added :: Header = [Content-Type] and Value = [application/json]
2021-03-19 00:08:28.754 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting request paramter as Key = [grant_type] and Value = [client_credentials]
2021-03-19 00:08:28.754 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting request paramter as Key = [client_id] and Value = [valid]
2021-03-19 00:08:28.754 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting request paramter as Key = [client_secret] and Value = [valid]
2021-03-19 00:08:28.755 [main] INFO  stepDefinition.StepDefinitions_API_Test - Making [POST] request
2021-03-19 00:08:29.263 [main] INFO  stepDefinition.StepDefinitions_API_Test - Validating response code as [510]
2021-03-19 00:08:29.440 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - ********************************************************************************************************
2021-03-19 00:08:29.440 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - --- Execution Started :::: Verity that Auth token API works for various combinations
2021-03-19 00:08:29.440 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - ********************************************************************************************************
2021-03-19 00:08:29.441 [main] INFO  stepDefinition.StepDefinitions_API_Test - Base URL [https://sandbox.neonomics.io]
2021-03-19 00:08:29.441 [main] INFO  stepDefinition.StepDefinitions_API_Test - Endpoint path [/auth/realms/sandbox/protocol/openid-connect/token]
2021-03-19 00:08:29.442 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting Header = [Content-Type] and Value = [application/x-www-form-urlencoded]
2021-03-19 00:08:29.442 [main] INFO  stepDefinition.StepDefinitions_API_Test - Added :: Header = [Content-Type] and Value = [application/x-www-form-urlencoded]
2021-03-19 00:08:29.442 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting request paramter as Key = [grant_type] and Value = [authorization_code]
2021-03-19 00:08:29.443 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting request paramter as Key = [client_id] and Value = [valid]
2021-03-19 00:08:29.443 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting request paramter as Key = [client_secret] and Value = [valid]
2021-03-19 00:08:29.444 [main] INFO  stepDefinition.StepDefinitions_API_Test - Making [POST] request
2021-03-19 00:08:29.890 [main] INFO  stepDefinition.StepDefinitions_API_Test - Validating response code as [510]
